geo_accession,hsa-miR-1307-3p,hsa-miR-4783-3p,hsa-miR-8073,hsa-miR-4532,hsa-miR-6787-5p,hsa-miR-6861-5p,hsa-miR-1233-5p,hsa-miR-4675,hsa-miR-92a-2-5p,hsa-miR-6756-5p,hsa-miR-1228-5p,hsa-miR-6766-5p,hsa-miR-4758-5p,hsa-miR-6802-5p,hsa-miR-6769a-5p,hsa-miR-4419b,hsa-miR-6784-5p,hsa-miR-4428,hsa-miR-342-5p,hsa-miR-885-3p,hsa-miR-8059,hsa-miR-1238-5p,hsa-miR-3156-5p,hsa-miR-4727-3p,hsa-miR-663a,hsa-miR-320a,hsa-miR-191-5p,hsa-miR-4646-5p,hsa-miR-1246,hsa-miR-4299,hsa-miR-4515,hsa-miR-197-5p,hsa-miR-6073,hsa-miR-4730,hsa-miR-6717-5p,hsa-miR-614,hsa-miR-6816-5p,hsa-miR-6858-5p,hsa-miR-211-3p,hsa-miR-6131,hsa-miR-6887-5p,hsa-miR-3682-3p,hsa-miR-6839-5p,hsa-miR-23b-3p,hsa-miR-642b-3p,hsa-miR-320b,hsa-miR-130a-3p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-6822-5p,hsa-miR-654-5p,hsa-miR-4498,hsa-miR-4514,hsa-miR-4734,hsa-miR-4261,hsa-miR-17-3p,hsa-miR-6729-5p,hsa-miR-4317,hsa-miR-3652,hsa-miR-4732-5p,hsa-miR-146a-5p,hsa-miR-6757-5p,hsa-miR-320e,hsa-miR-4489,hsa-miR-7847-3p,hsa-miR-3934-5p,hsa-miR-4700-5p,hsa-miR-4298,hsa-miR-23a-3p,hsa-miR-8060,hsa-miR-6742-5p,hsa-miR-483-5p,hsa-miR-15b-5p,hsa-miR-3137,hsa-miR-3151-5p,hsa-miR-4538,hsa-miR-320d,hsa-miR-6748-5p,hsa-miR-3617-5p,hsa-miR-6760-5p,hsa-miR-1343-3p,hsa-miR-4652-5p,hsa-miR-3605-5p,hsa-miR-25-3p,hsa-miR-4436b-3p,hsa-miR-320c,hsa-miR-4300,hsa-miR-140-3p,hsa-miR-4259,hsa-miR-221-3p,hsa-miR-423-3p,hsa-miR-185-5p,hsa-miR-15a-5p,hsa-miR-505-5p,hsa-miR-6728-5p,hsa-miR-222-3p,hsa-miR-4690-5p,hsa-miR-22-3p,hsa-miR-1247-3p,hsa-miR-126-3p,breast cancer
1879687,4.882172,4.518616,5.27239,10.16296,7.824218,6.774206,10.63187,6.547318,9.567909,7.800503,11.81992,5.172335,8.15282,7.917886,5.561927,5.828188,12.6723,3.422619,3.826145,4.501772,7.523101,5.428537,3.935421,2.686264,9.556114,5.793633,3.44921,2.70167,2.435578,4.173413,2.114133,7.660544,2.114133,9.431056,5.933602,7.532992,10.53289,7.960982,4.950075,6.057137,6.150207,2.114133,3.427192,2.552794,7.826807,5.299086,2.114133,2.114133,2.114133,4.843404,2.548764,4.852322,2.114133,11.65362,2.114133,2.114133,12.42423,2.114133,5.555893,5.002388,2.114133,6.535682,4.658873,3.28315,6.276276,4.047814,2.114133,6.162352,2.699851,2.867393,4.336786,5.082977,3.249985,2.114133,4.737701,2.114133,4.781768,3.855206,2.585604,2.65796,5.068421,2.114133,4.096244,2.377074,2.381658,4.957001,2.114133,2.114133,3.240565,2.971087,3.727653,2.114133,2.114133,2.988451,2.114133,2.114133,5.731274,4.54294,6.073854,3.21789,0
1879688,4.428707,4.745059,5.512711,10.73869,7.997144,6.548193,10.56831,6.789324,9.644823,7.948205,12.05656,4.910755,8.270437,8.107559,6.009181,5.301809,12.91039,3.775219,3.921462,4.044138,7.993306,5.624403,2.522327,3.828973,9.88145,4.066909,1.785021,3.932254,1.785021,4.365489,2.217854,7.120986,1.785021,9.935254,5.244419,6.892955,10.74697,7.6513,5.817413,6.363577,5.826594,2.288369,3.540083,2.386731,8.255143,3.123591,1.785021,1.785021,1.785021,4.852505,3.316551,4.194468,1.785021,11.85688,2.415715,1.785021,12.57752,1.785021,5.150931,4.926206,1.98289,6.899169,1.785021,3.224475,6.302616,3.317986,1.785021,6.08464,1.785021,2.218863,4.781502,5.191458,1.785021,1.785021,4.561851,2.141537,1.785021,3.848493,1.785021,3.17133,5.110975,1.785021,1.785021,2.071928,2.70868,2.377346,1.785021,1.785021,3.346508,1.785021,2.102024,2.55249,1.785021,2.049257,1.785021,1.785021,5.319353,2.593089,6.062303,1.785021,0
1879689,4.968153,4.713662,4.621383,10.45347,8.012973,6.807628,10.62409,6.804743,9.589968,7.916728,11.91977,4.811808,8.279525,8.084557,5.65354,5.373436,12.87417,2.837661,3.648744,3.945768,7.664367,5.572725,2.588383,2.342117,9.769006,4.782538,2.342117,2.799403,3.443107,2.342117,2.342117,7.665804,2.342117,9.777666,5.290031,7.863668,10.69416,8.002766,5.736548,6.239217,5.733141,2.342117,4.133588,2.342117,8.06319,3.551068,2.342117,2.342117,2.470787,3.703712,2.342117,3.603727,2.342117,11.82296,2.342117,2.342117,12.57072,2.342117,5.404281,4.266131,3.105195,6.778365,2.342117,2.342117,6.094214,3.143196,2.342117,5.804708,2.342117,2.342117,4.386631,5.290419,2.342117,2.342117,4.200094,2.342117,2.644793,3.219524,2.342117,3.018306,5.271906,2.697544,2.342117,2.342117,2.342117,3.413377,2.342117,2.342117,3.372759,2.342117,2.342117,3.11235,2.342117,2.342117,2.342117,2.342117,5.821967,3.567901,5.93867,2.342117,0
1879690,4.97098,4.658636,5.11463,10.54631,7.836348,6.457365,10.17501,6.383414,9.964335,7.75102,11.98695,4.725451,8.163915,7.896235,6.134323,5.101451,12.94761,3.891351,3.564606,4.297808,8.040799,5.523563,2.995473,2.819348,10.03198,3.569566,2.942999,4.400782,0.7186694,0.7186694,1.416882,7.506206,0.7186694,9.80161,4.180412,7.126593,10.76172,7.842262,5.688796,5.765841,5.589347,2.348309,3.665651,3.328932,8.035995,3.185875,0.7186694,0.7186694,0.7186694,2.88335,1.565681,3.706661,0.7186694,11.70351,0.7186694,0.7186694,12.64522,0.7186694,5.363986,4.777142,1.165999,6.739258,0.7186694,3.402933,5.938776,2.484784,2.282386,5.695146,3.043161,2.173041,4.501823,4.912472,2.155943,0.7186694,4.636985,0.8706032,0.7186694,3.013823,0.7186694,3.115032,5.243599,0.7186694,0.7186694,0.7186694,0.7186694,2.779903,2.037568,0.7186694,3.897606,0.7186694,1.690491,2.297339,0.7186694,2.594217,1.176173,0.7186694,5.354726,1.323462,5.797522,0.7186694,0
1879691,5.459917,4.958405,5.649701,10.33607,7.935511,6.641384,10.48814,6.598219,9.523155,7.995015,11.86669,5.002685,8.114204,8.091109,6.136274,5.671243,12.78622,4.250872,4.896248,4.595874,8.862741,5.512483,2.86041,3.656531,10.00805,4.399989,1.678477,4.362525,3.105707,2.352755,1.159688,7.628596,2.55003,9.426215,5.235428,8.332736,10.72814,8.001103,5.883193,7.832698,5.63728,2.664305,3.557626,2.629568,7.833318,3.846739,1.159688,4.258291,2.227174,3.502699,2.929003,4.563385,1.371127,11.74437,1.977544,2.806935,12.54923,1.159688,5.006067,5.026167,1.159688,6.450325,1.159688,2.707236,6.135991,3.341483,1.159688,5.807496,2.038229,2.248877,4.290252,5.452975,1.159688,3.700531,4.500477,1.159688,2.750642,4.284128,1.159688,3.454679,5.304331,2.068624,1.619831,2.058868,2.389122,3.530062,1.159688,1.159688,4.15729,2.379482,2.390198,3.217412,1.159688,1.159688,1.159688,1.565254,5.911367,2.031399,6.050747,1.50949,0
1879692,5.499877,4.916962,5.405728,10.44513,8.093145,6.598104,10.84552,6.67384,9.587704,8.024558,12.13952,5.200221,8.256146,8.073335,5.940521,5.539712,12.80805,4.234558,3.821896,4.924984,8.235478,5.674269,3.647568,2.77556,10.24222,3.988019,1.814773,4.34338,4.286422,3.211246,1.872967,7.537665,2.969418,9.441779,5.094675,7.436669,10.68587,8.063807,5.578112,7.428957,5.875901,3.335382,3.422257,2.451481,8.144574,2.762778,-0.3869897,-0.3869897,-0.3869897,3.941664,2.127007,4.597889,-0.3869897,11.76488,2.009511,-0.3869897,12.54681,-0.3869897,5.374362,5.505593,1.499836,6.728199,1.923102,3.442067,6.577164,3.963917,1.665608,6.00537,2.251405,2.241555,4.995613,5.64006,0.5670603,-0.3869897,5.050696,2.344928,1.327219,3.711844,-0.3869897,3.241051,5.182057,-0.3869897,-0.3869897,1.248672,1.310524,2.419379,0.2047819,-0.3869897,3.721446,-0.3869897,2.190062,1.611272,-0.3869897,2.213509,1.763283,-0.3869897,5.972776,2.698597,6.21879,-0.3869897,0
1879693,4.856262,4.869167,5.289754,10.33816,7.785511,6.300174,10.24921,6.472867,9.785279,7.823952,12.02831,4.877828,8.140649,7.905632,5.902228,5.15653,12.85846,3.735099,2.959344,4.222003,7.839519,5.457143,3.366153,2.322504,10.07234,3.663978,1.879991,3.819043,2.305416,1.879991,2.372232,7.624816,1.879991,9.426538,4.320867,6.631482,10.70389,7.994679,5.745239,6.128771,5.738333,2.638396,2.829313,1.879991,7.842607,2.89541,1.879991,1.879991,1.879991,3.112694,1.879991,3.896702,1.879991,11.73406,1.879991,1.879991,12.59204,1.879991,5.550892,5.094882,1.879991,6.499303,1.879991,2.980317,6.013466,2.519459,1.879991,6.041877,1.879991,1.879991,4.401895,5.369918,1.879991,1.879991,4.515985,1.879991,1.879991,3.024638,1.879991,3.030111,4.889713,1.879991,1.879991,1.879991,1.879991,2.171189,1.879991,1.879991,3.262199,2.186287,1.879991,1.879991,1.879991,1.879991,1.879991,1.879991,5.927181,1.879991,6.015707,1.879991,0
1879694,5.462502,4.881748,5.302199,10.29254,8.126665,6.318932,10.2665,6.579119,9.30636,7.830597,11.96904,4.76338,8.237177,7.88988,5.992786,5.179439,12.78658,3.713729,3.39603,5.147012,8.394883,5.483652,3.010375,2.625128,10.34609,4.139613,2.904042,3.131075,2.625128,2.625128,2.625128,7.786116,2.625128,9.185883,4.640248,7.641693,10.78593,8.293459,5.668303,5.915868,5.616767,2.625128,4.469522,2.753973,7.590438,2.625128,2.625128,2.625128,2.625128,3.146891,2.625128,4.15534,2.625128,11.71996,2.625128,2.625128,12.5466,2.625128,5.049198,5.007463,2.625128,6.677026,2.625128,3.158859,6.096528,2.625128,2.625128,5.994014,2.625128,2.625128,4.353563,5.209078,2.625128,2.625128,4.516364,2.625128,2.625128,3.038369,2.625128,2.625128,5.439792,2.625128,2.625128,2.625128,2.625128,2.625128,2.625128,2.625128,4.315069,2.625128,2.625128,2.625128,2.625128,2.625128,2.625128,2.625128,5.922112,2.625128,6.026382,2.625128,0
1879695,5.468516,4.777911,5.491315,10.286,7.810143,6.372129,10.43841,6.4893,9.267803,7.812761,11.91194,4.853587,8.066245,7.922872,5.661403,5.260891,12.70063,3.406432,3.800938,4.791517,7.59309,5.633335,3.002455,2.782201,9.938581,3.885235,1.286873,3.171434,3.132876,2.71926,1.977282,7.781409,1.286873,9.260814,5.061047,7.071795,10.63179,7.959342,5.379064,6.144534,5.640998,1.753196,3.487665,2.504167,7.711607,3.125105,1.286873,1.286873,2.016876,3.871186,1.632843,4.354099,1.286873,11.86463,1.742566,1.286873,12.65317,1.286873,5.125802,5.052025,1.286873,6.465079,2.925137,3.297626,6.081157,3.262326,1.286873,5.749287,1.286873,2.39197,4.733346,5.182421,1.286873,1.286873,4.436805,1.286873,1.286873,3.044997,1.286873,2.574284,4.953938,1.286873,1.547089,1.286873,1.799053,2.755354,1.286873,1.286873,3.335069,1.286873,1.422483,1.809322,1.286873,1.286873,1.286873,1.286873,5.833141,2.300138,6.278278,1.286873,0
1879696,4.606335,4.667799,5.464001,10.64616,7.98807,6.589385,10.88635,6.616142,9.826159,7.984941,11.89879,4.977466,8.422605,7.918378,5.579142,5.705592,12.74014,3.590796,2.891708,4.452352,7.556612,5.630632,3.491845,2.09293,9.659679,4.317458,2.09293,2.783752,4.223868,2.09293,2.09293,7.285778,2.09293,10.01018,5.656572,6.969793,10.6344,7.677555,5.191205,6.372615,5.828467,2.09293,2.47677,2.09293,8.29465,3.241435,2.09293,2.09293,2.09293,4.404541,2.09293,4.005084,2.09293,11.87283,2.264946,2.09293,12.59246,2.09293,5.167633,5.194558,2.267953,6.491921,2.09293,2.953633,6.297969,4.074903,2.09293,5.990352,2.216975,2.445208,4.708298,4.786991,2.09293,2.09293,4.702827,2.09293,2.570043,3.792686,2.09293,3.830898,5.099858,2.09293,2.09293,2.247876,2.09293,3.165899,2.09293,2.09293,3.28827,2.09293,2.311661,2.09293,2.09293,2.09293,2.09293,2.09293,5.61093,3.253033,6.079022,2.09293,0
